Outer fold,test_data_size,n_hidden_units,ANN_test_error,lambda,Linear_test_error,baseline_test_error,
1,47,2,403.1000061,80,383.1,450.4,1 & 47 & 2 & 403.2 & 80 & 383.1 & 450.4 //
2,47,2,532,80,435.6,527.1,2 & 47 & 2 & 532 & 80 & 435.6 & 527.1 //
3,46,1,449.2000122,100,373.3,385.7,3 & 46 & 1 & 449.3 & 100 & 373.3 & 385.7 //
4,46,1,351.8999939,100,311.6,385.9,4 & 46 & 1 & 351.9 & 100 & 311.6 & 385.9 //
5,46,1,345.7999878,100,290.3,399.1,5 & 46 & 1 & 345.8 & 100 & 290.3 & 399.1 //
6,46,1,295.5,100,267,357.8,6 & 46 & 1 & 295.5 & 100 & 267 & 357.8 //
7,46,1,280.2999878,100,263.4,353.2,7 & 46 & 1 & 280.3 & 100 & 263.4 & 353.2 //
8,46,1,576.2000122,100,499.7,572.4,8 & 46 & 1 & 576.3 & 100 & 499.7 & 572.4 //
9,46,1,375,100,387.5,498.1,9 & 46 & 1 & 375 & 100 & 387.5 & 498.1 //
10,46,1,271.3999939,100,206.7,355.7,10 & 46 & 1 & 271.4 & 100 & 206.7 & 355.7 //
11,,,388.4,,342.1,428.8,
